slug,name,area,season_year,sunbed_price,bed_or_vip_price,minimum_spend,entry_policy,price_level,source_url,rates_url,rates_is_pdf,booking_url,official_site,menu_url,menu_is_pdf,opened_year,business_status,address,phone,google_place_id,google_maps_url,verified,notes,url,currency,source_page,attribution,license
ocean-club-marbella,Ocean Club Marbella,Puerto Banús,2026,300,1100,"VIP tiers add €500–€1,000 minimum on weekends/events","no plain sunbed: cheapest bed package (up to 3, bottle included) is the entry ticket",,https://oceanclub.es/app/uploads/2025/10/OC-BED-PACKAGES-2026-1-1.pdf,https://oceanclub.es/app/uploads/2025/10/OC-BED-PACKAGES-2026-1-1.pdf,true,https://bookings.oceanclub.es/,https://oceanclub.es/,,,2007,operating,"Av. de Lola Flores, s/n, Nueva Andalucía, 29660 Marbella, Málaga, Spain",952 90 81 37,ChIJ0449guwpcw0Rt1NBKqM3f54,https://maps.google.com/?cid=11420908353962988471&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,"official 2026 bed-packages PDF; top bed €1,100 for 8",https://marbellawire.com/prices/beach-clubs/ocean-club-marbella/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
playa-padre,Playa Padre,Marbella centre (El Cable),2026,120,650,€70 of the €120 is minimum consumption,sunbed price includes a €70 minimum spend,,https://rentaboatmarbella.com/en/marbella-guide/beach-clubs/playa-padre,https://playapadre.com/wp-content/uploads/2025/05/OUR-RATES.jpg,false,https://playapadre.com/reservations/,https://playapadre.com/,https://menus.grupomosh.com/menu/playa-padre/food-menu,true,2017,operating,"s/n, Calle playa del cable, 29603 Marbella, Málaga, Spain",650 82 22 26,ChIJ_-5KUYoncw0ROWhqy_1kzWY,https://maps.google.com/?cid=7407688003296585785&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,2026 high season; VIP bed €650 for two,https://marbellawire.com/prices/beach-clubs/playa-padre/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
nikki-beach,Nikki Beach,Elviria (Marbella East),2026,30,200,,"no cover; single beach lounger €30, first come first served; elevated terrace €60 weekdays, €80 weekends",€€€€,https://clubbookers.com/marbella/clubs/nikki-beach/,https://www.sevenrooms.com/experiences/nikkibeachmarbella,false,https://www.sevenrooms.com/experiences/nikkibeachmarbella,https://nikkibeach.com/marbella/,,,2003,operating,"Carr. de Cádiz, km 192, 29604 Marbella, Málaga, Spain",952 83 62 39,ChIJd5O2rgnYcg0RoXZZC3H0y9o,https://maps.google.com/?cid=15765963686899447457&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,"booking-agent figure, undated season: treat as a floor",https://marbellawire.com/prices/beach-clubs/nikki-beach/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
amare-beach,Amàre Beach (day pass),Golden Mile,2026,69.5,,half the pass returns as food-and-drink credit,"adults-only day pass, 11:00–19:00",€€€,https://www.amarehotels.com/amare-marbella/day-pass/,https://www.amarehotels.com/amare-marbella/day-pass/,false,https://www.amarehotels.com/amare-marbella/day-pass/,https://www.amarehotels.com/amare-marbella/,,,2016,operating,"P.º Alfonso Cañas Nogueras, 29603 Marbella, Málaga, Spain",951 56 82 02,ChIJz2WPqfcncw0Rh7dciWHhuyk,https://maps.google.com/?cid=3007244985232570247&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,official hotel day-pass page,https://marbellawire.com/prices/beach-clubs/amare-beach/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
nao-pool-club,Nao Pool Club,Puerto Banús,2026,60,,minimum spend inside the €60pp; +€100pp extra person (€200 bank holidays),21+ on party days; beds first-paid-first-served,,https://tevienes.com/en/spain/marbella/venues/pool-club-nao,https://naopoolclub.com/bookings/,false,https://naopoolclub.com/bookings/,https://naopoolclub.com/,https://naopoolclub.com/wp-content/uploads/2023/09/MENU-COMIDA-WEB_compressed.pdf,true,2016,operating,"C. los Tilos, Nueva Andalucía, 29660 Marbella, Málaga, Spain",650 30 03 00,ChIJHaVzmO8pcw0RcNarv2BPX8I,https://maps.google.com/?cid=14006000643096696432&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,official 2026 T&Cs confirm terms; € figure via listing site,https://marbellawire.com/prices/beach-clubs/nao-pool-club/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
trocadero-arena,Trocadero Arena,Río Real (Marbella East),2026,,,,no sunbed rate published; the venue page gives a hammock reservation line instead,€€€,https://grupotrocadero.com/en/trocadero-arena-marbella/,,false,https://www.covermanager.com/reservation/module_restaurant/trocadero-arena/english,https://grupotrocadero.com/en/trocadero-arena-marbella/,,,2011,operating,"Playa de Río Real Carretera N340 km 186, 29600 Marbella, Málaga, Spain",952 86 55 79,ChIJAQAAAHzfcg0RCFOtQ4CHAoM,https://maps.google.com/?cid=9440256753882977032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,"unpublished pending a real figure; the €30/€40 carried here until 11 August 2026 came from lounjo.com, not from Grupo Trocadero",https://marbellawire.com/prices/beach-clubs/trocadero-arena/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
la-cabane,La Cabane (Los Monteros),Los Monteros (Marbella East),2026,,,,"no lounger rate published on their own site; the frontline beds were reported at €1,200/day by Travel And Tour World, not by the club",€€€€,https://lacabanemarbella.com/en/beachclub/,,false,https://lacabanemarbella.com/en/booking/pool/,https://lacabanemarbella.com/en/,,,1965,operating,"C. Jabalí, 29603 Marbella, Málaga, Spain",951 55 22 16,ChIJk3qkBD8gcw0R8QzwegeRre8,https://maps.google.com/?cid=17270619607349071089&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,"unpublished pending a real figure; the €35 carried here until 11 August 2026 came from vacationmarbella.com, not from La Cabane",https://marbellawire.com/prices/beach-clubs/la-cabane/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
opium-beach,Opium Beach,Puerto Banús,2026,30,,,hammock + umbrella; mains from €25,,https://sandbeds.com/en/beach_club/opium-beach-club-marbella/,https://sandbeds.com/en/beach_club/opium-beach-club-marbella/,false,https://opiumbeachmarbella.com/en/calendar/,https://opiumbeachmarbella.com/en/,,,,temporarily_closed,"Carretera N340, Km 184, 29603 Marbella, Málaga, Spain",657 62 71 44,ChIJUe7_1oYncw0ROsOFQbU9RgU,https://maps.google.com/?cid=380059067257045818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,2026 guide figure; club publishes none,https://marbellawire.com/prices/beach-clubs/opium-beach/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
bono-beach,Bono Beach,El Rosario (Marbella East),2025,30,250,,sunbed includes towel + water; Balinese bed €200 weekday / €250 weekend,,https://thespaintravelguru.com/best-beach-clubs-in-marbella/,https://www.bonobeachmarbella.com/bed-booking,false,https://www.bonobeachmarbella.com/bed-booking,https://www.bonobeachmarbella.com/,,,2007,operating,"Avenida Cervantes s/n Urb. Costa Bella, 29604 Marbella, Málaga, Spain",952 83 92 36,ChIJo5umzkwncw0R30fcOudYS6s,https://maps.google.com/?cid=12343056953887180767&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,"guide figure, season not pinned: confirm on the day",https://marbellawire.com/prices/beach-clubs/bono-beach/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
la-sala-by-the-sea,La Sala by the Sea,Puerto Banús,2026,20,800,big beds bundle food-and-drink credit (Cabana €800 incl. €350 credit),"free entry without a bed; beds prepaid: €20 Mon–Wed, €30 Thu–Sun",€€€€,https://lasalabythesea.com/downloads/bedmenu.pdf,https://cdn.lasalabythesea.com/downloads/bedmenu.pdf,true,https://www.sevenrooms.com/explore/lasalabythesea/reservations/create/search,https://lasalabythesea.com/,,,2008,operating,"Av José Banús, Nueva Andalucía, 29660 Marbella, Málaga, Spain",952 81 38 82,ChIJMXEdUpMpcw0RWw1P2pG6GSg,https://maps.google.com/?cid=2889545771530521947&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,official 2026 bed menu PDF,https://marbellawire.com/prices/beach-clubs/la-sala-by-the-sea/,EUR,https://marbellawire.com/prices/beach-clubs/,"Marbella Wire, https://marbellawire.com/prices/beach-clubs/",https://creativecommons.org/licenses/by/4.0/
