venue,area,status,price_eur,price_unit,yoy_pct,note,season,measured_on,price_source_url,price_source_via,index_average_eur,index_average_unit,index_yoy_pct,source_url,attribution,license
Ocean Club,Puerto Banús,priced,300,"Two sunbeds plus minimum spend, weekday, high season",,"No plain sunbed is sold: the cheapest bed package (Small Round, Frontline Square or 3rd Line Sun Lounge) seats up to three, includes one bottle of Perrier Jouët, and carries no extra minimum spend on a weekday. €300 is the whole weekday cost of putting two people on a bed here: one package, not two. The ladder above it runs €600 for a mid-tier deck and €1,100 for a VIP Deck, with a further €500 to €1,000 minimum spend on weekends and event days.",2026,2026-08-11,https://oceanclub.es/app/uploads/2025/10/OC-BED-PACKAGES-2026-1-1.pdf,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Playa Padre,Marbella centre (El Cable),priced,240,"Two sunbeds plus minimum spend, weekday, high season",,"Two standard single beds at €120 each, off the club's own rate card. Each €120 is a €50 bed plus a €70 minimum spend, so both halves double for two people: €100 of bed and €140 that must be eaten and drunk. The VIP bed, capped at two people and bundling a bottle of Moët and a fruit tray, is a separate product at €650.",2026,2026-08-11,https://playapadre.com/wp-content/uploads/2025/05/OUR-RATES.jpg,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Amàre Beach,Golden Mile,priced,139,"Two sunbeds plus minimum spend, weekday, high season",,"Two adults-only day passes at €69.50 each. The hotel's own page says ""from"", so this is a floor and not a ceiling. A pass includes a pool or beach bed, and half its value comes back as food-and-drink credit rather than being charged on top, which makes this the one venue in the index whose minimum spend is money you get back.",2026,2026-08-11,https://www.amarehotels.com/amare-marbella/day-pass/,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Moosa Bay,Artola (Marbella East),priced,80,"Two sunbeds plus minimum spend, weekday, high season",,"Two sunbeds at €40 each, the July and August rate on the venue's own reservations page. The same page prices the rest of the year lower: €30 in February and March, €35 from April to June, and €35 again from September.",2026,2026-08-11,https://www.moosabay.com/reservations-1,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Nikki Beach,Elviria (Marbella East),priced,60,"Two sunbeds plus minimum spend, weekday, high season",,"Two single beach loungers at €30 each, no minimum spend. They are first come, first served: Nikki Beach takes no reservation for them and advises arriving at noon when the beach club opens. The elevated terrace is a dearer product on the same page, €60 or €80 a lounger, and is over-18s only. Re-read 2026-08-26, that page prints ""60€ per lounger Monday - Thursday"" and ""80€ per lounger Wednesday - Friday"": the ranges overlap and name no weekend, so which days carry which rate is not something the venue states reliably, and no day split is published here or on the club page. Nikki Beach publishes nothing on nikkibeach.com; these are the rates on the booking platform it sells through, which we count as the venue's own and label as such.",2026,2026-08-11,https://www.sevenrooms.com/experiences/nikkibeachmarbella/single-lounger-5596888419811328,SevenRooms,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Bono Beach,El Rosario (Marbella East),priced,60,"Two sunbeds plus minimum spend, weekday, high season",,"Two single beds at €30 each, read on Wednesday 12 August 2026, towel and a half-litre of water included per bed. A front-line single is €35 and a three-person Bali bed €200. The platform adds a 4% booking fee on top, so €30 rings up as €31.20. Bono publishes nothing on its own domain; these are the rates on the booking platform embedded in its bed-booking page, which we count as the venue's own and label as such.",2026,2026-08-11,https://sales.premiumguest.com/bono-beach/en/,PremiumGuest,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
La Sala by the Sea,Puerto Banús,priced,40,"Two sunbeds plus minimum spend, weekday, high season",,"Two Chill Out Single Beach Beds at €20 each, the Monday to Wednesday rate on the club's own 2026 bed menu (€30 each Thursday to Sunday). No minimum spend; towels are €10 extra each. Its dearer products are priced separately on the same menu: a single pool sunbed is €65, a front-row deluxe bed €25 Monday to Wednesday and €35 Thursday to Sunday, a four-person beach bed €70, and the eight-person Cabana €350 Monday to Wednesday, rising to €800 Thursday to Sunday with €350 of that returned as credit.",2026,2026-08-11,https://lasalabythesea.com/downloads/bedmenu.pdf,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Public beach,All of them,priced,0,"Two sunbeds plus minimum spend, weekday, high season",,Towel not included.,2026,2026-08-11,,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
Trocadero Arena,Río Real (Marbella East),unpublished,,"Two sunbeds plus minimum spend, weekday, high season",,grupotrocadero.com publishes no sunbed rate. The page gives a telephone number for sunbed reservations instead.,2026,2026-08-11,,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
La Cabane,Los Monteros,unpublished,,"Two sunbeds plus minimum spend, weekday, high season",,lacabanemarbella.com describes its Balinese beds and premium sunbeds but publishes no rate for either; reservations go through a form or WhatsApp.,2026,2026-08-11,,,131,"Two sunbeds plus minimum spend, weekday, high season",,https://marbellawire.com/prices/sunbeds/,Free to use with credit to the Marbella Wire Sunbed Index and a link to https://marbellawire.com/prices/sunbeds/,https://creativecommons.org/licenses/by/4.0/
